タイトル,価格,在庫状況,詳細URL
The Dirty Little Secrets of Getting Your Dream Job,Â£33.34,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
The Third Wave: An Entrepreneurâs Vision of the Future,Â£12.61,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/the-third-wave-an-entrepreneurs-vision-of-the-future_862/index.html
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,Â£27.55,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/the-10-entrepreneur-live-your-startup-dream-without-quitting-your-day-job_836/index.html
Shoe Dog: A Memoir by the Creator of NIKE,Â£23.99,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/shoe-dog-a-memoir-by-the-creator-of-nike_831/index.html
Made to Stick: Why Some Ideas Survive and Others Die,Â£38.85,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/made-to-stick-why-some-ideas-survive-and-others-die_715/index.html
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,Â£43.14,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/quench-your-own-thirst-business-lessons-learned-over-a-beer-or-two_629/index.html
The Art of Startup Fundraising,Â£21.00,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/the-art-of-startup-fundraising_606/index.html
Born for This: How to Find the Work You Were Meant to Do,Â£21.59,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/born-for-this-how-to-find-the-work-you-were-meant-to-do_588/index.html
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,Â£36.91,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/the-e-myth-revisited-why-most-small-businesses-dont-work-and-what-to-do-about-it_545/index.html
"Rich Dad, Poor Dad",Â£51.74,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/rich-dad-poor-dad_483/index.html
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,Â£33.92,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/the-lean-startup-how-todays-entrepreneurs-use-continuous-innovation-to-create-radically-successful-businesses_260/index.html
Rework,Â£44.88,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/rework_212/index.html
