タイトル,価格,在庫状況,詳細URL
Soumission,Â£50.10,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/soumission_998/index.html
Private Paris (Private #10),Â£47.61,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html
"We Love You, Charlie Freeman",Â£50.27,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html
Thirst,Â£17.27,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/thirst_946/index.html
The Murder That Never Was (Forensic Instincts #5),Â£54.11,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html
Tuesday Nights in 1980,Â£21.04,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/tuesday-nights-in-1980_870/index.html
The Vacationers,Â£42.15,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/the-vacationers_863/index.html
The Regional Office Is Under Attack!,Â£51.36,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/the-regional-office-is-under-attack_858/index.html
Finders Keepers (Bill Hodges Trilogy #2),Â£53.53,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/finders-keepers-bill-hodges-trilogy-2_807/index.html
The Time Keeper,Â£27.88,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/the-time-keeper_766/index.html
The Testament of Mary,Â£52.67,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/the-testament-of-mary_765/index.html
The First Hostage (J.B. Collins #2),Â£25.85,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/the-first-hostage-jb-collins-2_749/index.html
Take Me with You,Â£45.21,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/take-me-with-you_741/index.html
Still Life with Bread Crumbs,Â£26.41,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/still-life-with-bread-crumbs_738/index.html
Shtum,Â£55.84,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/shtum_733/index.html
My Name Is Lucy Barton,Â£41.56,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/my-name-is-lucy-barton_720/index.html
My Mrs. Brown,Â£24.48,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/my-mrs-brown_719/index.html
Mr. Mercedes (Bill Hodges Trilogy #1),Â£28.90,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/mr-mercedes-bill-hodges-trilogy-1_717/index.html
I Am Pilgrim (Pilgrim #1),Â£10.60,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/i-am-pilgrim-pilgrim-1_703/index.html
Eligible (The Austen Project #4),Â£27.09,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/eligible-the-austen-project-4_692/index.html
Eight Hundred Grapes,Â£14.39,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/eight-hundred-grapes_690/index.html
Dear Mr. Knightley,Â£11.21,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/dear-mr-knightley_684/index.html
Cometh the Hour (The Clifton Chronicles #6),Â£25.01,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/cometh-the-hour-the-clifton-chronicles-6_681/index.html
Balloon Animals,Â£17.03,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/balloon-animals_665/index.html
A Man Called Ove,Â£39.72,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/a-man-called-ove_653/index.html
The Silent Sister (Riley MacPherson #1),Â£46.29,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/the-silent-sister-riley-macpherson-1_641/index.html
The Dinner Party,Â£56.54,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/the-dinner-party_635/index.html
The Improbability of Love,Â£59.45,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/the-improbability-of-love_607/index.html
Mothering Sunday,Â£13.34,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/mothering-sunday_600/index.html
