タイトル,価格,在庫状況,詳細URL
Sophie's World,Â£15.94,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/sophies-world_966/index.html
The Death of Humanity: and the Case for Life,Â£58.11,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html
The Stranger,Â£17.44,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/the-stranger_861/index.html
Proofs of God: Classical Arguments from Tertullian to Barth,Â£54.21,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/proofs-of-god-classical-arguments-from-tertullian-to-barth_538/index.html
Kierkegaard: A Christian Missionary to Christians,Â£47.13,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/kierkegaard-a-christian-missionary-to-christians_527/index.html
"At The Existentialist CafÃ©: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",Â£29.93,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/at-the-existentialist-cafe-freedom-being-and-apricot-cocktails-with-jean-paul-sartre-simone-de-beauvoir-albert-camus-martin-heidegger-edmund-husserl-karl-jaspers-maurice-merleau-ponty-and-others_459/index.html
Critique of Pure Reason,Â£20.75,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/critique-of-pure-reason_366/index.html
"Run, Spot, Run: The Ethics of Keeping Pets",Â£20.02,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/run-spot-run-the-ethics-of-keeping-pets_106/index.html
The Nicomachean Ethics,Â£36.34,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/the-nicomachean-ethics_75/index.html
Meditations,Â£25.89,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/meditations_33/index.html
Beyond Good and Evil,Â£43.38,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/beyond-good-and-evil_6/index.html
