タイトル,価格,在庫状況,詳細URL
In Her Wake,Â£12.84,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/in-her-wake_980/index.html
The Elephant Tree,Â£23.82,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html
Behind Closed Doors,Â£52.22,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html
You (You #1),Â£43.61,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/you-you-1_784/index.html
The Guilty (Will Robie #4),Â£13.82,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/the-guilty-will-robie-4_750/index.html
The 14th Colony (Cotton Malone #11),Â£39.24,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/the-14th-colony-cotton-malone-11_744/index.html
Give It Back,Â£18.32,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/give-it-back_430/index.html
Killing Floor (Jack Reacher #1),Â£31.49,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/killing-floor-jack-reacher-1_382/index.html
The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),Â£59.71,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/the-bone-hunters-lexy-vaughan-steven-macaulay-2_343/index.html
Far From True (Promise Falls Trilogy #2),Â£34.93,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/far-from-true-promise-falls-trilogy-2_320/index.html
The Travelers,Â£15.77,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/the-travelers_285/index.html
