タイトル,価格,在庫状況,詳細URL
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,Â£57.36,In stock,https://books.toscrape.com/catalogue/i-had-a-nice-time-and-other-lies-how-to-find-love-sht-like-that_814/index.html
Will You Won't You Want Me?,Â£13.86,In stock,https://books.toscrape.com/catalogue/will-you-wont-you-want-me_644/index.html
Keep Me Posted,Â£20.46,In stock,https://books.toscrape.com/catalogue/keep-me-posted_594/index.html
Grey (Fifty Shades #4),Â£48.49,In stock,https://books.toscrape.com/catalogue/grey-fifty-shades-4_592/index.html
Meternity,Â£43.58,In stock,https://books.toscrape.com/catalogue/meternity_478/index.html
Some Women,Â£13.73,In stock,https://books.toscrape.com/catalogue/some-women_341/index.html
Shopaholic Ties the Knot (Shopaholic #3),Â£48.39,In stock,https://books.toscrape.com/catalogue/shopaholic-ties-the-knot-shopaholic-3_340/index.html
Can You Keep a Secret?,Â£21.94,In stock,https://books.toscrape.com/catalogue/can-you-keep-a-secret_315/index.html
Twenties Girl,Â£42.80,In stock,https://books.toscrape.com/catalogue/twenties-girl_292/index.html
The Undomestic Goddess,Â£45.75,In stock,https://books.toscrape.com/catalogue/the-undomestic-goddess_286/index.html
The Nanny Diaries (Nanny #1),Â£52.53,In stock,https://books.toscrape.com/catalogue/the-nanny-diaries-nanny-1_265/index.html
The Devil Wears Prada (The Devil Wears Prada #1),Â£44.29,In stock,https://books.toscrape.com/catalogue/the-devil-wears-prada-the-devil-wears-prada-1_243/index.html
Something Borrowed (Darcy & Rachel #1),Â£48.96,In stock,https://books.toscrape.com/catalogue/something-borrowed-darcy-rachel-1_224/index.html
Something Blue (Darcy & Rachel #2),Â£54.62,In stock,https://books.toscrape.com/catalogue/something-blue-darcy-rachel-2_223/index.html
I've Got Your Number,Â£19.69,In stock,https://books.toscrape.com/catalogue/ive-got-your-number_173/index.html
The Edge of Reason (Bridget Jones #2),Â£19.18,In stock,https://books.toscrape.com/catalogue/the-edge-of-reason-bridget-jones-2_63/index.html
Bridget Jones's Diary (Bridget Jones #1),Â£29.82,In stock,https://books.toscrape.com/catalogue/bridget-joness-diary-bridget-jones-1_10/index.html
